u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
21.71045,20.31036,19.76529,19.53904,19.30875,1.400093,0.5450668,0.2262478,0.2302895,STAR,G2,0.0001809329,54467,1,1,0,1,17.5075242548493,-9.73605325297653
19.26656,19.04116,18.97763,19.00427,18.87567,0.2254028,0.06353378,-0.02664566,0.1286011,QSO,BROADLINE,0.8311779,52224,1,1,0,1,329.432970882898,11.3037216207719
19.66128,18.75111,18.5066,18.4167,18.3871,0.9101696,0.2445068,0.08990097,0.02959824,STAR,F5,0.0005485985,54556,1,1,0,1,180.357189423803,1.21912613058422
20.88906,20.34879,20.03272,19.76974,19.46349,0.5402718,0.3160706,0.2629871,0.306242,GALAXY,STARBURST,0.4547566,55749,1,1,0,1,248.195566946983,30.6710784870499
18.4505,18.31615,18.15407,18.03675,17.78391,0.1343498,0.1620808,0.1173191,0.2528362,QSO,BROADLINE,2.076236,54825,1,1,0,1,9.14140028911302,-10.2079539836943
21.10356,20.98758,20.59954,20.27307,20.28684,0.1159859,0.388031,0.326479,-0.01377678,GALAXY,AGN,0.2114311,57580,1,1,0,1,357.228700344847,25.761728396794
19.08814,19.12804,19.23255,19.01245,19.01856,-0.03989983,-0.1045074,0.2201023,-0.006116867,QSO,BROADLINE,1.838683,56001,1,1,0,1,200.104491225237,13.6805502743273
18.92821,18.7918,18.61789,18.31153,18.18055,0.1364174,0.1739044,0.3063641,0.1309814,QSO,BROADLINE,1.915581,52314,1,1,0,1,143.547967320447,0.497796317661541
21.81435,21.54794,21.44142,21.32614,21.22416,0.2664032,0.1065216,0.115284,0.1019726,GALAXY,STARBURST,0.0179962,58049,1,1,0,1,353.404710028542,30.0381615920863
21.13782,20.31127,20.19237,20.05516,19.7956,0.8265514,0.1189022,0.1372108,0.2595615,QSO,BROADLINE,2.723621,56661,1,1,0,1,155.356229962121,59.4486996169213
20.30831,20.16088,20.21646,19.89957,19.78673,0.1474285,-0.05557823,0.3168907,0.1128464,QSO,BROADLINE,1.600803,57346,1,1,0,1,140.480191945406,56.1476610156415
19.66359,19.31459,18.95457,19.22356,18.65903,0.3489971,0.3600216,-0.2689934,0.5645313,GALAXY,STARBURST,0.3425657,54954,1,1,0,1,198.85465550737,42.1891107509371
20.90327,20.32039,20.55017,20.47081,20.53423,0.5828743,-0.2297726,0.07935715,-0.06341743,GALAXY,STARBURST,0.06398926,56298,1,1,0,1,133.571291477387,27.2669874218827
22.16093,21.04532,19.96418,19.87197,19.57037,1.115608,1.081142,0.09220695,0.3016071,QSO,BROADLINE,1.30366,55739,1,1,0,1,236.669364301033,31.7405994164188
20.39634,20.23713,20.03675,20.08225,19.92057,0.1592102,0.2003784,-0.04550171,0.1616821,QSO,,1.02185,56661,1,1,0,1,166.16970237712,60.4729065602182
22.40656,19.53903,18.11564,17.07839,16.51605,2.867538,1.423388,1.037247,0.5623417,STAR,M2,1.995598e-06,52581,1,1,0,1,3.92217004650276,-0.34654162042071
20.24945,19.87834,19.83916,19.58673,19.73541,0.3711128,0.03917503,0.25243,-0.1486778,QSO,BROADLINE,1.667668,57807,1,1,0,1,117.77821824395,39.140553392274
20.44582,20.11454,19.73606,19.46194,19.7054,0.3312855,0.3784809,0.2741184,-0.2434635,GALAXY,STARBURST,0.1498567,53401,1,1,0,1,180.268840374216,39.332368922418
23.5445,20.51064,19.51928,19.429,19.32611,3.033861,0.9913578,0.09028435,0.1028824,QSO,BROADLINE,3.659181,55998,1,1,0,1,144.811724676414,49.1100219082665
20.99079,20.62363,20.82025,20.80351,20.65634,0.3671627,-0.1966228,0.01674271,0.1471691,GALAXY,STARBURST,0.0298755,51911,1,1,0,1,144.472051898401,58.836503128905
20.74251,20.53862,20.0617,20.40269,19.88341,0.2038918,0.4769173,-0.3409863,0.5192738,GALAXY,STARBURST,0.3038746,55532,1,1,0,1,134.071518378192,2.10470830259966
17.51623,16.5307,16.25413,16.16809,16.17785,0.9855309,0.2765675,0.08604431,-0.009763718,STAR,F5,0.0003402872,51943,1,1,0,1,151.694646915653,63.4751107491366
22.80384,21.93931,21.97762,22.26846,22.5106,0.8645325,-0.0383091,-0.2908459,-0.2421379,GALAXY,STARBURST,0.1916865,57783,1,1,0,1,189.785783125004,44.9956301242674
21.475,21.26301,20.67657,20.39247,20.06467,0.211998,0.5864372,0.2840996,0.3277988,GALAXY,BROADLINE,0.9039754,55450,1,1,0,1,41.0045356041297,0.0159018127485712
21.80778,21.36378,21.0937,20.76152,21.05333,0.4440002,0.2700806,0.3321724,-0.2918034,GALAXY,STARBURST,0.4625789,57429,1,1,0,1,160.466420197528,54.8764057251225
22.28384,21.54787,20.62005,20.31493,19.87248,0.7359772,0.9278145,0.3051262,0.4424438,GALAXY,STARBURST,0.3452978,58487,1,1,0,1,196.84817005368,58.7954039415619
21.15977,20.28605,20.22736,20.38888,20.2151,0.873724,0.05869293,-0.1615257,0.1737785,QSO,BROADLINE,2.5258,57041,1,1,0,1,138.019381588991,55.6476737127376
17.51737,16.39735,16.03294,15.8884,15.86009,1.120026,0.3644028,0.1445484,0.02830982,STAR,G2,8.081253e-07,53238,1,1,0,1,318.085601495425,10.5005549733997
21.18598,20.87344,20.83796,20.62909,20.6461,0.312542,0.0354805,0.2088642,-0.01701164,QSO,BROADLINE,1.690818,57041,1,1,0,1,43.2342234872045,0.35257626539155
