#Table1
objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,probPSF,mode
1237655348351730428,230.088750799723,53.5302460007544,25.82868,22.73636,20.68353,19.55874,19.14184,2299,301,3,222,7559433644827498496,GALAXY,0.5677592,6714,56447,515,0,1
1237655348351795637,230.150416502954,53.334603595561,22.44584,22.2594,20.6508,19.60177,19.25374,2299,301,3,223,7559434194583312384,GALAXY,0.554449,6714,56447,517,0,1
1237655348351861356,230.580282689097,53.3069559278039,25.34612,22.15388,20.67487,19.74788,19.04474,2299,301,3,224,7559440241897265152,GALAXY,0.5650151,6714,56447,539,0,1
1237655348888535525,230.462073165361,53.9578906969029,22.83447,20.73754,19.07114,18.45979,18.03481,2299,301,4,221,7559444365065869312,GALAXY,0.335591,6714,56447,554,0,1
1237655348888601055,230.432303697918,53.7420185641663,25.78429,21.88392,20.39873,19.58135,18.97948,2299,301,4,222,7559433095071684608,GALAXY,0.4782345,6714,56447,513,0,1
1237655348888601167,230.557745160905,53.7620595565782,25.18634,21.49057,19.85598,19.0211,18.76473,2299,301,4,222,7559438042874009600,GALAXY,0.4898999,6714,56447,531,0,1
1237655348888666536,230.694592784049,53.7707696317957,24.5037,21.67299,20.30285,19.45446,18.91569,2299,301,4,223,7559437493118195712,GALAXY,0.4860294,6714,56447,529,0,1
1237655348888666547,230.61620306022,53.7125724088326,25.52573,21.39853,19.61237,18.76902,18.20111,2299,301,4,223,7559437218240288768,GALAXY,0.4786998,6714,56447,528,0,1
1237655348888863357,231.378983026226,53.4290064121325,25.13968,22.36376,20.5958,19.5434,19.01205,2299,301,4,226,7559448488234473472,GALAXY,0.57961,6714,56447,569,0,1
1237655348888863380,231.374708634557,53.4081957711539,22.64955,22.54649,20.42591,19.25671,18.82153,2299,301,4,226,7559449037990287360,GALAXY,0.5770539,6714,56447,571,0,1
1237655348888928666,231.376790384693,53.3094294262778,23.54479,22.04489,20.39632,19.38349,19.00156,2299,301,4,227,7559449862624008192,GALAXY,0.5329449,6714,56447,574,0,1
1237657628439085268,134.12587164522,38.4716667556476,18.88723,17.75225,17.336,17.01091,16.90196,2830,301,2,170,1348852872187504640,GALAXY,0,1198,52669,90,0,1
1237657628439085288,134.121141141052,38.5054350428394,24.96398,19.66083,18.36738,17.93276,17.60899,2830,301,2,170,1348854796332853248,GALAXY,0,1198,52669,97,0,1
1237657628439150847,134.237407241979,38.6532004715832,19.79097,18.37016,17.61795,17.2035,16.94127,2830,301,2,171,1348855071210760192,GALAXY,0,1198,52669,98,0,1
1237657628439216142,134.251800459125,38.7033999947775,19.16222,18.11556,17.69494,17.30423,17.43958,2830,301,2,172,1348850398286342144,GALAXY,0,1198,52669,81,0,1
