#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
19.20682,17.55184,16.71391,16.26353,15.96588,1.654985,0.8379288,0.4503803,0.2976494,GALAXY,AGN,0.102413,51692,1,1,0,0,238.664116254906,0.0373476793583302
24.89634,19.68792,18.22224,17.56556,17.22915,5.208412,1.465683,0.6566772,0.3364086,GALAXY,AGN,0.2675019,55605,1,1,0,0,207.850997373883,0.978656333407086
17.65049,16.05069,15.30439,14.93101,14.66703,1.5998,0.7463083,0.3733778,0.263979,GALAXY,AGN,0.05042199,51689,1,1,0,0,229.938535968646,0.87929047574304
21.58655,20.44967,19.09795,18.37588,18.01605,1.136885,1.351721,0.7220707,0.359827,GALAXY,AGN,0.4558849,55246,1,1,0,0,168.72078796947,-0.601607168236247
19.96947,18.18605,17.289,16.82156,16.45238,1.783415,0.8970547,0.4674416,0.369175,GALAXY,AGN,0.07543427,51658,1,1,0,0,175.028577407742,-0.46584794254476
18.57247,17.38819,16.67142,16.2663,15.95769,1.184286,0.7167664,0.4051247,0.3086033,GALAXY,AGN,0.1223376,51689,1,1,0,0,230.402991279968,-0.0150015274041012
18.87427,17.7246,16.99999,16.60562,16.32665,1.149666,0.7246132,0.3943729,0.2789631,GALAXY,AGN,0.1328092,51637,1,1,0,0,217.725677665682,0.794686310910388
19.06708,17.43386,16.63257,16.26122,15.94293,1.633221,0.8012905,0.3713493,0.3182888,GALAXY,AGN,0.1084433,51913,1,1,0,0,159.348983903524,1.12599251942254
19.32928,18.04797,17.39753,16.94601,16.62027,1.281309,0.6504383,0.4515209,0.325737,GALAXY,AGN,0.08645395,51997,1,1,0,0,192.72139537546,-2.21030075661209
18.08062,16.70714,16.04021,15.66665,15.4061,1.37348,0.6669369,0.3735542,0.2605562,GALAXY,AGN,0.08629122,51997,1,1,0,0,192.731375546174,-2.22927717128931
21.70078,21.3769,20.05316,19.28258,18.79292,0.3238869,1.32374,0.7705784,0.4896622,GALAXY,AGN,0.513225,55212,1,1,0,0,187.311724294756,-1.67369716558712
22.04688,21.3579,20.07935,19.33831,19.09101,0.6889801,1.278553,0.7410431,0.2472973,GALAXY,AGN,0.5196942,56724,1,1,0,0,193.179534224942,64.6176293959317
