#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
20.19622,18.38445,17.42943,17.01739,16.65954,1.811764,0.9550247,0.412035,0.357851,GALAXY,BROADLINE,0.1391547,51613,1,1,0,0,216.23581080719,-0.285682821513743
16.82363,15.20542,14.51779,14.15518,13.86133,1.61821,0.6876268,0.3626041,0.2938538,GALAXY,BROADLINE,0.03443846,51955,1,1,0,0,203.161903992685,0.870475595824262
21.41561,21.03154,20.14366,19.35841,19.33391,0.3840694,0.8878784,0.7852459,0.02449799,GALAXY,BROADLINE,0.5850716,55244,1,1,0,0,145.947986673772,-0.521175882315333
18.23612,16.44065,15.66061,15.28605,15.00799,1.795477,0.7800388,0.3745594,0.2780533,GALAXY,BROADLINE,0.03894363,51989,1,1,0,0,232.792406433628,0.40283102766288
17.62285,15.70172,14.82883,14.41185,14.08082,1.921129,0.8728933,0.4169798,0.3310213,GALAXY,BROADLINE,0.04921554,51614,1,1,0,0,171.494177306624,0.821499178821315
18.6779,16.78028,15.8702,15.45807,15.1364,1.897629,0.9100742,0.4121313,0.3216677,GALAXY,BROADLINE,0.09180105,51994,1,1,0,0,223.30728262878,0.656491023429369
17.29441,15.39545,14.5499,14.1423,13.82546,1.898956,0.8455496,0.4076071,0.3168335,GALAXY,BROADLINE,0.04035956,51821,1,1,0,0,14.8138239252284,13.575944840763
20.42497,18.47717,17.57601,17.16902,16.86786,1.9478,0.901165,0.406992,0.3011608,GALAXY,BROADLINE,0.1194525,52294,1,1,0,0,172.990388084199,-1.71877680556442
18.32745,16.26327,15.27094,14.84001,14.489,2.064175,0.9923277,0.4309311,0.3510141,GALAXY,BROADLINE,0.08640056,51692,1,1,0,0,196.227150543193,-2.31703681742683
17.85579,16.00344,15.17765,14.781,14.47321,1.852348,0.8257875,0.3966455,0.3077974,GALAXY,BROADLINE,0.0543653,51868,1,1,0,0,124.928566623718,45.7841011904924
19.32779,17.27843,16.21842,15.73973,15.31301,2.049364,1.060005,0.4786921,0.4267178,GALAXY,BROADLINE,0.1249851,51868,1,1,0,0,125.746682225678,46.9484541138208
17.94714,15.98144,15.09459,14.66958,14.34669,1.965705,0.8868456,0.4250088,0.3228874,GALAXY,BROADLINE,0.07147358,51911,1,1,0,0,143.392044048249,57.9318151162181
18.05654,16.09116,15.20733,14.76449,14.58416,1.965378,0.8838272,0.4428377,0.1803331,GALAXY,BROADLINE,0.06423927,52049,1,1,0,0,237.893990548285,53.3950202689188
17.14567,15.40521,14.5833,14.15955,13.79084,1.740454,0.821908,0.4237499,0.3687105,GALAXY,BROADLINE,0.0326858,52057,1,1,0,0,247.730867979086,45.8800475286593
17.85638,16.04627,15.2706,14.89178,14.61714,1.810116,0.7756681,0.3788176,0.2746391,GALAXY,BROADLINE,0.03172546,52057,1,1,0,0,248.433200960673,45.0125004736043
21.16918,18.99389,17.63136,17.12341,16.78671,2.175289,1.362532,0.5079498,0.3367043,GALAXY,BROADLINE,0.2101272,52057,1,1,0,0,248.339184763809,44.9869697525854
18.96048,16.97278,16.03563,15.59186,15.26359,1.987703,0.9371452,0.4437733,0.3282671,GALAXY,BROADLINE,0.0570289,52057,1,1,0,0,248.835737679074,44.7157544733274
22.72224,21.19471,19.88462,19.13869,18.76593,1.527529,1.310093,0.7459335,0.372757,GALAXY,BROADLINE,0.5543872,55182,1,1,0,0,113.554365209142,36.6498145203125
19.73053,17.7156,16.69965,16.24249,15.88774,2.014936,1.015951,0.4571609,0.3547401,GALAXY,BROADLINE,0.1222139,51899,1,1,0,0,130.639331609377,53.0295620817921
19.70598,17.8228,16.85605,16.40746,16.08833,1.883183,0.9667454,0.4485931,0.319128,GALAXY,BROADLINE,0.1084476,52049,1,1,0,0,238.844871402538,53.2575587094767
18.92359,17.08534,16.24529,15.84253,15.55166,1.838255,0.8400497,0.4027529,0.2908726,GALAXY,BROADLINE,0.06292854,51883,1,1,0,0,119.019586505435,45.4531173602741
