#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
19.21621,18.05866,17.63718,17.30684,17.16817,1.157553,0.421484,0.3303337,0.1386681,GALAXY,STARBURST,0.04758949,51955,1,1,0,0,203.457876163095,-1.24113365143078
19.6407,19.40669,19.6966,19.15224,21.98622,0.2340107,-0.2899113,0.544363,-2.833984,GALAXY,STARBURST,0.1438372,55356,1,1,0,0,234.517648297343,-0.824921510324099
17.94234,17.07024,16.82397,16.62157,16.54949,0.8721027,0.2462749,0.2023945,0.0720787,GALAXY,STARBURST,0.09410395,51910,1,1,0,0,150.642214081242,-0.871946544069689
18.89485,17.84152,17.52548,17.21929,17.14772,1.053328,0.31604,0.3061905,0.07157516,GALAXY,STARBURST,0.0512078,51689,1,1,0,0,229.002377956433,-0.162319573067804
16.33218,15.39752,15.02948,14.86281,14.71574,0.9346657,0.3680353,0.1666708,0.147068,GALAXY,STARBURST,0.02836903,51957,1,1,0,0,157.940530750743,0.387937550407085
18.46078,17.45422,17.05344,16.77802,16.56941,1.006559,0.4007778,0.275423,0.2086105,GALAXY,STARBURST,0.09655832,51957,1,1,0,0,157.935578849262,0.21288163464504
19.40255,18.34115,17.82817,17.45871,17.21585,1.061396,0.5129833,0.3694572,0.2428551,GALAXY,STARBURST,0.0723849,51957,1,1,0,0,158.465824535851,0.414928196368281
21.01992,20.65691,20.08238,20.31401,20.73656,0.3630104,0.5745335,-0.231636,-0.4225445,GALAXY,STARBURST,0.2186878,55632,1,1,0,1,226.92172993782,0.296902203054695
18.85081,18.00708,17.74214,17.48032,17.44894,0.8437328,0.2649326,0.2618217,0.0313797,GALAXY,STARBURST,0.09899052,51957,1,1,0,0,157.758735181699,0.767368381667201
18.3441,17.37045,17.13528,16.94614,16.85316,0.9736423,0.2351704,0.1891403,0.09297943,GALAXY,STARBURST,0.0404985,51909,1,1,0,0,164.07116080133,0.677373393761119
17.85997,16.87683,16.48778,16.28573,16.10791,0.9831371,0.3890514,0.202055,0.1778164,GALAXY,STARBURST,0.02145526,51957,1,1,0,0,153.105258304636,1.24580892516689
18.9665,17.39531,16.5444,15.93605,15.60374,1.57119,0.8509083,0.608345,0.3323088,GALAXY,STARBURST,0.06574766,51957,1,1,0,0,158.388128506515,1.10976348588048
19.27118,18.45838,18.24442,17.96826,17.88793,0.8128014,0.2139664,0.2761555,0.0803318,GALAXY,STARBURST,0.09075543,51909,1,1,0,0,163.219139243838,1.07984270171949
18.49127,17.66451,17.32047,17.00602,16.98644,0.8267632,0.3440418,0.3144512,0.01957512,GALAXY,STARBURST,0.1335472,51909,1,1,0,0,163.464520027513,1.23235923021009
18.09855,17.09684,16.71592,16.42297,16.27506,1.001707,0.3809242,0.2929497,0.1479092,GALAXY,STARBURST,0.0639591,51909,1,1,0,0,163.847751189573,1.12879127434605
18.71405,17.83818,17.49585,17.16498,17.14348,0.8758698,0.3423309,0.3308716,0.02149963,GALAXY,STARBURST,0.1189164,51898,1,1,0,0,23.1564526886367,13.6342226324192
19.1387,18.59527,18.27597,17.98563,18.07094,0.5434227,0.3193073,0.2903347,-0.08531189,GALAXY,STARBURST,0.1563322,51900,1,1,0,0,29.4225319500423,12.8928411547852
19.46622,18.69487,18.61109,18.38783,18.3621,0.771347,0.0837841,0.223259,0.02572632,GALAXY,STARBURST,0.04982958,51871,1,1,0,0,12.4945370239072,15.8798228685475
18.23878,17.26746,16.95231,16.7269,16.6206,0.9713173,0.315155,0.2254047,0.1063023,GALAXY,STARBURST,0.04707541,51900,1,1,0,0,30.0709165374071,14.5572064452544
19.00378,17.97266,17.37794,17.02075,16.81835,1.031115,0.5947247,0.3571892,0.2023945,GALAXY,STARBURST,0.1785485,51900,1,1,0,0,29.4768228108782,14.0955421090802
19.09601,18.09901,17.56621,17.19264,17.02127,0.9969978,0.5328007,0.3735771,0.1713657,GALAXY,STARBURST,0.1332784,52000,1,1,0,0,189.832885425997,-3.58381763832498
23.04238,21.15979,19.95303,18.67404,17.92425,1.882584,1.206762,1.278992,0.749794,GALAXY,STARBURST,0.06956494,55213,1,1,0,0,139.989254589771,-1.72617336306276
18.34186,17.26573,16.7873,16.36201,16.25843,1.076134,0.478426,0.425293,0.1035786,GALAXY,STARBURST,0.09409297,51915,1,1,0,0,148.674517076122,59.4418148043512
