#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
19.46599,18.2599,17.70665,17.34172,17.18213,1.206089,0.5532455,0.3649349,0.1595821,GALAXY,STARFORMING,0.08550129,56603,1,1,0,0,81.0171605516399,0.73051070557937
19.58932,18.42594,17.72692,17.41149,17.19702,1.16338,0.6990261,0.3154297,0.2144718,GALAXY,STARFORMING,0.1317314,56603,1,1,0,0,80.9842185675133,0.759456984891919
19.75982,18.5726,18.03118,17.70591,17.55231,1.187222,0.5414219,0.325264,0.1536045,GALAXY,STARFORMING,0.1006068,56603,1,1,0,0,81.8328605774899,0.78762631938326
17.67911,16.59728,16.2286,16.00354,15.82018,1.081833,0.368679,0.2250614,0.1833591,GALAXY,STARFORMING,0.02760175,56603,1,1,0,0,81.0517900476276,1.13277158097924
20.43946,18.58795,17.76235,17.3354,17.09007,1.851515,0.8255997,0.4269505,0.2453346,GALAXY,STARFORMING,0.2001215,56603,1,1,0,0,81.7297911865948,1.08805593994369
19.84923,18.92996,18.21163,17.80255,17.75841,0.9192696,0.7183342,0.4090767,0.04414558,GALAXY,STARFORMING,0.1448618,56603,1,1,0,0,80.8947471405676,1.40198922987804
17.62613,16.51775,16.25476,16.09913,16.00663,1.108379,0.2629948,0.1556225,0.09250069,GALAXY,STARFORMING,0.02877985,52000,1,1,0,0,139.979912831922,-0.591317469292354
18.9378,18.00799,17.57133,17.32018,17.16109,0.9298172,0.4366512,0.251152,0.1590881,GALAXY,STARFORMING,0.02568928,52000,1,1,0,0,140.017793475079,-0.502486780803228
17.70692,16.25638,15.49697,15.0881,14.7812,1.450546,0.759407,0.4088755,0.3068914,GALAXY,STARFORMING,0.08781177,52000,1,1,0,0,140.594400634826,-0.488803363444425
18.86286,17.46148,16.91403,16.53777,16.27761,1.401381,0.5474434,0.3762589,0.2601643,GALAXY,STARFORMING,0.05650825,52000,1,1,0,0,140.773975763673,-0.59706391489561
18.28184,16.80664,16.05783,15.66243,15.39555,1.475197,0.7488194,0.3953972,0.2668781,GALAXY,STARFORMING,0.05609871,52000,1,1,0,0,140.936634388437,-0.517956473197875
18.7539,16.99275,16.16584,15.75373,15.45212,1.761143,0.8269157,0.4121037,0.3016109,GALAXY,STARFORMING,0.05362697,52000,1,1,0,0,140.936319557027,-0.570252380115776
23.3749,21.56563,20.24609,19.49604,19.03594,1.809263,1.319544,0.7500477,0.4600983,GALAXY,STARFORMING,0.4711511,55565,1,1,0,0,164.385904395741,-0.438944229580158
22.69945,21.57891,20.29952,19.55839,19.27456,1.120533,1.279398,0.7411289,0.2838326,GALAXY,STARFORMING,0.521332,55629,1,1,0,0,216.713616688843,0.753162822002321
19.28613,17.51703,16.63385,16.14307,15.74308,1.769094,0.8831806,0.4907875,0.399991,GALAXY,STARFORMING,0.09570773,51879,1,1,0,0,11.2511634441099,14.2321166128321
18.21757,16.90796,16.28948,15.95937,15.67135,1.309612,0.6184826,0.3301125,0.2880125,GALAXY,STARFORMING,0.03922279,51879,1,1,0,0,11.2957279512792,14.1813740033307
19.42902,18.21897,17.59564,17.21656,16.92873,1.210045,0.6233273,0.3790855,0.2878265,GALAXY,STARFORMING,0.08938562,51879,1,1,0,0,11.3507009920468,14.2597197761413
18.78056,17.56627,17.05367,16.76014,16.5638,1.214287,0.5125999,0.2935333,0.1963425,GALAXY,STARFORMING,0.1007396,51879,1,1,0,0,11.6267568093162,14.4956711816602
17.00167,15.68813,15.11979,14.79819,14.53158,1.313539,0.5683365,0.3216047,0.2666006,GALAXY,STARFORMING,0.03915642,51879,1,1,0,0,11.6314576203073,14.9849916041056
20.01388,18.22765,17.37534,16.8879,16.54812,1.786232,0.8523064,0.4874382,0.3397808,GALAXY,STARFORMING,0.1016065,52056,1,1,0,0,177.127532289532,-2.30569412147041
19.10296,18.07792,17.64581,17.32991,17.22667,1.025045,0.4321098,0.3158951,0.103241,GALAXY,STARFORMING,0.103167,52056,1,1,0,0,177.137499573273,-2.00521968778432
18.31531,16.55104,15.6102,15.14228,14.77575,1.764265,0.9408407,0.4679251,0.3665333,GALAXY,STARFORMING,0.09415239,52056,1,1,0,0,177.201179933192,-1.88437318820427
19.6622,18.11207,17.33638,16.96017,16.658,1.550129,0.7756901,0.3762074,0.3021793,GALAXY,STARFORMING,0.0952336,52056,1,1,0,0,177.03918361183,-1.5849957671133
18.7991,17.18056,16.29023,15.79444,15.39188,1.61853,0.8903389,0.4957886,0.4025574,GALAXY,STARFORMING,0.06993096,52000,1,1,0,0,140.061531376924,-0.724859596848088
19.03237,18.10562,17.58618,17.26592,17.07509,0.926754,0.5194378,0.3202572,0.190836,GALAXY,STARFORMING,0.1792075,52000,1,1,0,0,140.199830660317,-0.701335611150326
19.82725,18.34892,17.51788,17.15334,16.90532,1.478333,0.8310432,0.3645382,0.248024,GALAXY,STARFORMING,0.1597954,52000,1,1,0,0,140.435232476388,-0.664173855189471
19.41451,18.11549,17.34989,16.91158,16.6252,1.299026,0.7655945,0.4383087,0.2863827,GALAXY,STARFORMING,0.1385358,52000,1,1,0,0,140.708512723786,-0.660816483997703
18.81343,17.72866,17.2484,16.99596,16.89936,1.084774,0.4802608,0.2524414,0.09659958,GALAXY,STARFORMING,0.05605797,52000,1,1,0,0,140.833086926852,-0.717195088574301
18.07699,16.85371,16.25654,15.91293,15.6516,1.22328,0.5971756,0.3436098,0.261322,GALAXY,STARFORMING,0.0553996,52000,1,1,0,0,140.974990103059,-0.682628363900895
18.77765,17.75851,17.35872,17.14653,16.91825,1.019133,0.3997955,0.212183,0.2282867,GALAXY,STARFORMING,0.03866367,52000,1,1,0,0,139.884353000486,-0.410065615972566
19.44866,17.82773,16.93928,16.45573,16.14582,1.62093,0.8884506,0.483551,0.309906,GALAXY,STARFORMING,0.1528058,52000,1,1,0,0,140.315362167655,-0.26940831385178
18.76651,17.38642,16.7101,16.28251,15.99792,1.380091,0.6763191,0.4275894,0.2845936,GALAXY,STARFORMING,0.06921994,52000,1,1,0,0,140.486200668027,-0.260871892474382
18.33242,16.85776,16.11727,15.7389,15.44817,1.474663,0.74049,0.3783665,0.2907305,GALAXY,STARFORMING,0.05547222,52000,1,1,0,0,140.642998328088,-0.391841276518164
20.70043,18.83894,18.03453,17.65906,17.32877,1.861494,0.804409,0.375473,0.3302822,GALAXY,STARFORMING,0.09031402,52054,1,1,0,0,243.187955543636,47.6602001501225
18.54437,17.57703,17.31092,17.12233,17.07016,0.9673405,0.2661114,0.188591,0.05217171,GALAXY,STARFORMING,0.0301602,52054,1,1,0,0,243.240075987355,47.7130607080306
18.59844,17.45059,16.4039,15.77773,15.81189,1.147852,1.046686,0.6261721,-0.03416348,GALAXY,STARFORMING,0.3006325,55566,1,1,0,0,116.599834939064,38.0431433526652
20.30531,18.38284,17.5032,16.91931,16.52832,1.922472,0.8796406,0.5838852,0.3909969,GALAXY,STARFORMING,0.1096578,52054,1,1,0,0,243.545920206606,47.8920002754445
19.24056,17.707,17.017,16.68327,16.40849,1.53356,0.6900005,0.3337307,0.2747822,GALAXY,STARFORMING,0.05979273,52054,1,1,0,0,243.345886453613,48.8475314524989
18.95121,17.54093,17.0223,16.68504,16.47789,1.410278,0.5186348,0.3372536,0.2071552,GALAXY,STARFORMING,0.05750513,52054,1,1,0,0,243.517091492683,48.7341062255574
20.27299,18.67942,17.69561,17.17092,16.83105,1.593567,0.9838161,0.5246868,0.3398666,GALAXY,STARFORMING,0.1952773,52054,1,1,0,0,243.633332863288,48.6773284550702
17.4615,16.0543,15.38431,14.95957,14.68535,1.407196,0.6699915,0.4247456,0.2742167,GALAXY,STARFORMING,0.04712745,52054,1,1,0,0,243.689615963471,48.4803699839545
19.1595,17.71797,17.2904,17.11402,16.97519,1.441528,0.4275703,0.1763802,0.138834,GALAXY,STARFORMING,0.02034126,52054,1,1,0,0,244.130490330934,48.1877119392595
19.42699,18.06918,17.31921,16.8932,16.61483,1.357811,0.7499714,0.4260082,0.2783699,GALAXY,STARFORMING,0.1208916,52054,1,1,0,0,244.119357654174,48.1464045042382
19.63331,18.21394,17.35727,16.91263,16.61827,1.419376,0.8566666,0.4446449,0.2943573,GALAXY,STARFORMING,0.1453213,51885,1,1,0,0,123.678431469152,47.7739706528593
19.04568,18.01041,17.58374,17.30023,17.1443,1.035271,0.4266663,0.283514,0.1559277,GALAXY,STARFORMING,0.0550788,51885,1,1,0,0,123.481201393903,48.3525206912125
19.21455,17.90878,17.14442,16.68151,16.3618,1.305773,0.7643528,0.4629154,0.3197079,GALAXY,STARFORMING,0.1193576,51885,1,1,0,0,123.906414367994,48.9137810086817
18.51445,16.92794,16.12657,15.69711,15.33184,1.586514,0.8013668,0.4294567,0.3652773,GALAXY,STARFORMING,0.05462978,51885,1,1,0,0,123.444710968969,48.1544559074761
17.11613,15.7049,15.08427,14.725,14.4599,1.411237,0.6206236,0.359273,0.2650995,GALAXY,STARFORMING,0.05367377,51885,1,1,0,0,123.512252622093,48.1830620074528
19.95588,18.37349,17.53292,17.05362,16.85509,1.582392,0.8405724,0.4792995,0.1985245,GALAXY,STARFORMING,0.1440561,51885,1,1,0,0,124.038288337348,48.7345999713789
19.32078,17.91454,17.21695,16.8043,16.54385,1.40624,0.6975899,0.4126492,0.2604504,GALAXY,STARFORMING,0.1263401,51885,1,1,0,0,124.222414182812,48.9581620904353
18.35486,17.02017,16.47234,16.19107,15.93342,1.334688,0.5478287,0.2812672,0.2576513,GALAXY,STARFORMING,0.05402648,54533,1,1,0,0,219.245066298629,63.3316221938087
19.44358,18.24034,17.64203,17.29315,17.06526,1.203243,0.5983124,0.3488731,0.2278957,GALAXY,STARFORMING,0.1428964,54533,1,1,0,0,220.31585991827,63.0200646350173
19.15964,17.57573,16.67265,16.23483,15.91398,1.583912,0.9030762,0.4378166,0.320857,GALAXY,STARFORMING,0.139761,54533,1,1,0,0,220.651703587444,62.9473544107221
20.50048,18.61437,17.46305,16.9203,16.54879,1.886108,1.151325,0.5427494,0.3715096,GALAXY,STARFORMING,0.05263355,54533,1,1,0,0,220.490563960978,62.7983663103591
19.5901,17.94337,16.94774,16.50623,16.17086,1.64673,0.9956245,0.4415112,0.3353672,GALAXY,STARFORMING,0.1441238,52055,1,1,0,0,242.865383330668,53.8035900322193
23.5597,21.63897,20.46516,19.73303,19.48212,1.920731,1.173809,0.7321224,0.2509117,GALAXY,STARFORMING,0.1668821,56071,1,1,0,0,254.484940547137,41.5586685407873
18.35902,17.1181,16.54936,16.22023,15.99854,1.240919,0.5687447,0.3291283,0.221693,GALAXY,STARFORMING,0.07446802,52326,1,1,0,0,189.956856245538,1.63158083539927
18.561,17.45549,17.0667,16.84041,16.69642,1.105507,0.3887844,0.2262936,0.1439915,GALAXY,STARFORMING,0.0452758,52326,1,1,0,0,190.0056691623,1.45457856449209
19.15883,17.88973,17.17516,16.80052,16.52168,1.269104,0.7145672,0.3746376,0.2788467,GALAXY,STARFORMING,0.1095061,52326,1,1,0,0,190.325773303137,1.52635180181982
19.28383,17.47943,16.59713,16.19768,15.88805,1.804403,0.8823032,0.3994484,0.3096266,GALAXY,STARFORMING,0.09218709,52326,1,1,0,0,190.768052931459,1.87421791316191
19.5569,18.24732,17.70225,17.42332,17.27846,1.309584,0.5450649,0.2789307,0.1448631,GALAXY,STARFORMING,0.09394743,52326,1,1,0,0,189.974879294072,2.47826857093193
19.12422,17.61956,17.02792,16.72372,16.45992,1.504656,0.5916443,0.3041916,0.2638035,GALAXY,STARFORMING,0.09402867,52326,1,1,0,0,190.07367518334,2.42527240622026
18.59319,17.44215,16.92395,16.59251,16.36676,1.151039,0.518198,0.3314381,0.2257557,GALAXY,STARFORMING,0.04570116,52326,1,1,0,0,190.08587863366,2.43635735731327
17.80767,16.85028,16.54408,16.41101,16.30835,0.9573956,0.3061943,0.1330719,0.1026592,GALAXY,STARFORMING,0.01582721,52326,1,1,0,0,190.083945267628,1.27328353119233
19.18734,17.82179,17.07957,16.64346,16.37434,1.365553,0.7422199,0.4361076,0.2691231,GALAXY,STARFORMING,0.12008,52326,1,1,0,0,190.09209769392,1.35132059393565
18.28628,16.80293,15.97311,15.54526,15.24554,1.483341,0.8298206,0.4278526,0.2997255,GALAXY,STARFORMING,0.1199603,52326,1,1,0,0,190.106255799047,1.32586716034468
19.53064,18.31487,17.37711,16.92028,16.70764,1.215767,0.9377575,0.4568329,0.2126427,GALAXY,STARFORMING,0.2011246,52326,1,1,0,0,190.125323773905,1.29709624042018
19.39932,18.17102,17.61866,17.22068,17.05358,1.2283,0.5523529,0.3979855,0.1671009,GALAXY,STARFORMING,0.07447824,52326,1,1,0,0,189.962492988214,1.70285917199582
18.54135,17.27856,16.66409,16.31719,16.06024,1.262787,0.6144772,0.3468933,0.2569542,GALAXY,STARFORMING,0.07713795,52326,1,1,0,0,189.983014211397,1.80778694148009
