#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
24.52015,22.36943,20.58521,19.78165,19.41584,2.150719,1.784216,0.8035603,0.3658161,GALAXY,,0.4142227,55356,1,1,0,0,236.321047677244,-0.805941109577019
23.07622,21.25041,19.65172,18.84715,18.33973,1.825806,1.598696,0.8045731,0.5074158,GALAXY,,0.4682323,55356,1,1,0,0,236.357933665115,-0.724968190301071
22.31564,21.40773,19.52358,18.90953,18.40985,0.9079132,1.884144,0.614048,0.4996815,GALAXY,,0.3741374,55356,1,1,0,0,236.436061006504,-0.329401876605392
23.74357,22.32554,20.52539,19.69099,19.43526,1.418026,1.800154,0.834404,0.2557297,GALAXY,,0.4689003,55356,1,1,0,0,236.660917659885,-0.238030844410814
26.64728,21.20805,19.38546,18.72432,18.60201,5.439228,1.82259,0.6611443,0.122303,GALAXY,,0.3736822,55356,1,1,0,0,236.785138343712,-0.232425963963747
19.65755,17.73963,16.81717,16.40567,16.05552,1.917925,0.9224567,0.411499,0.3501549,GALAXY,,0.09331674,51941,1,1,0,0,154.825417968283,-0.865715020066249
21.71909,19.82946,18.06478,17.41802,17.00921,1.889635,1.764677,0.6467571,0.4088135,GALAXY,,0.366891,51941,1,1,0,0,154.927713601299,-0.846110811935301
23.13565,20.71859,18.99305,18.27816,17.84824,2.417065,1.725542,0.7148876,0.4299202,GALAXY,,0.3668049,51941,1,1,0,0,154.897095559982,-0.944917031274503
18.97646,16.91319,15.98083,15.5385,15.1881,2.063276,0.9323578,0.4423342,0.3503923,GALAXY,,0.08444914,51941,1,1,0,0,155.098337286971,-0.861837027723311
23.5554,20.30806,18.57923,17.97058,17.57022,3.247347,1.728828,0.6086502,0.4003563,GALAXY,,0.3943022,51941,1,1,0,0,155.050914863692,-1.01376148816037
20.2709,18.37424,17.52332,17.14436,16.84376,1.896654,0.8509216,0.3789654,0.3005943,GALAXY,,0.07146545,51941,1,1,0,0,155.358463469121,-1.01161274736316
18.17826,16.29467,15.45571,15.06184,14.75215,1.883583,0.8389626,0.3938684,0.3096962,GALAXY,,0.04899042,51909,1,1,0,0,163.062059758085,-0.955492719547843
19.66464,18.12184,17.46474,17.15668,16.92103,1.542805,0.657093,0.3080616,0.235651,GALAXY,,0.1285814,51909,1,1,0,0,163.035828643649,-0.965383061821769
19.10166,17.54192,16.77632,16.36336,16.07495,1.559736,0.7656002,0.4129601,0.288414,GALAXY,,0.08470514,51909,1,1,0,0,163.177640181611,-0.926396752062029
19.68666,17.77162,16.85618,16.43258,16.11828,1.915049,0.9154377,0.4236012,0.3142948,GALAXY,,0.0944965,51941,1,1,0,0,154.717692370676,-0.618953854869631
18.43921,16.77772,15.94351,15.51525,15.20515,1.661484,0.8342104,0.4282598,0.3100996,GALAXY,,0.1247399,51941,1,1,0,0,154.893929363704,-0.602678444703853
18.84377,17.1364,16.27362,15.84507,15.52414,1.707371,0.8627872,0.4285488,0.3209314,GALAXY,,0.07265735,51909,1,1,0,0,162.93783562607,-0.43797126098326
20.32901,18.49229,17.63318,17.25443,16.95235,1.836725,0.8591099,0.3787441,0.302084,GALAXY,,0.07581438,51909,1,1,0,0,162.938794710546,-0.568744084022316
20.37265,18.26066,17.25856,16.8079,16.43664,2.111992,1.002102,0.4506569,0.3712578,GALAXY,,0.1293098,51909,1,1,0,0,163.052065749345,-0.615050792624938
24.48795,21.08184,19.38416,18.67304,18.27651,3.406113,1.697674,0.7111244,0.3965321,GALAXY,,0.4316097,55356,1,1,0,0,236.309469140269,-0.430001757493411
23.58774,20.58488,18.98671,18.36115,17.88997,3.002855,1.598169,0.6255569,0.4711838,GALAXY,,0.30135,55356,1,1,0,0,236.495638881464,-0.436941428421077
19.02673,17.30873,16.43943,15.94453,15.55786,1.718,0.8692989,0.494895,0.3866749,GALAXY,,0.0610805,51941,1,1,0,0,154.535588626542,-0.0842082983137502
19.14333,17.45457,16.61268,16.13188,15.75954,1.688759,0.8418865,0.4807968,0.3723478,GALAXY,,0.06570753,51941,1,1,0,0,154.618369032971,-0.0706202266834076
18.54466,16.748,15.84784,15.40291,15.0216,1.796661,0.9001608,0.4449301,0.3813114,GALAXY,,0.06359103,51941,1,1,0,0,154.651835187861,-0.178075477796774
20.69395,18.86609,17.57594,17.10193,16.74391,1.827864,1.290144,0.4740086,0.3580246,GALAXY,,0.1901886,51941,1,1,0,0,155.047400474385,-0.0459249396038062
20.36717,18.3351,17.41788,16.94306,16.60321,2.032072,0.9172192,0.4748211,0.3398476,GALAXY,,0.09249837,51941,1,1,0,0,155.4578024527,-0.169258688346387
19.45778,17.56718,16.62862,16.21943,15.8623,1.890602,0.9385567,0.4091949,0.3571253,GALAXY,,0.06999054,51630,1,1,0,0,146.782305896368,0.794406201507074
21.35493,19.44471,18.35713,17.89377,17.60642,1.910229,1.087578,0.4633598,0.2873478,GALAXY,,0.1588811,58438,1,1,0,0,26.9883661666079,12.8763041167019
21.66673,19.53919,18.31654,17.82468,17.46424,2.127546,1.222649,0.4918613,0.3604412,GALAXY,,0.1896262,58438,1,1,0,0,27.3521068444256,13.5967697498712
20.6916,18.84436,17.64123,17.19313,16.8294,1.847242,1.203127,0.448101,0.3637238,GALAXY,,0.1586815,58438,1,1,0,0,27.4195671872928,13.521790804894
20.61758,18.94847,17.76318,17.30506,16.91323,1.669111,1.185286,0.4581165,0.3918285,GALAXY,,0.1579376,58438,1,1,0,0,27.4436856119241,13.6006460914711
21.33203,19.90114,18.60176,18.12239,17.74611,1.430891,1.299376,0.4793739,0.376276,GALAXY,,0.1992554,58438,1,1,0,0,27.4737767755974,13.541566560978
21.77565,20.08108,19.03744,18.59217,18.18045,1.694574,1.04364,0.4452686,0.4117184,GALAXY,,0.1598777,58438,1,1,0,0,27.4767166858779,13.591874691611
22.1448,20.55322,19.39352,18.98305,18.63808,1.591583,1.159697,0.4104691,0.3449688,GALAXY,,0.1878367,58438,1,1,0,0,27.4676880196894,13.5668386560794
20.59046,18.92014,17.9824,17.57994,17.23828,1.670321,0.937748,0.4024563,0.3416576,GALAXY,,0.122441,58438,1,1,0,0,27.0337858095853,14.059770122046
19.77001,17.88358,16.8565,16.42084,16.06442,1.886429,1.027086,0.4356556,0.3564224,GALAXY,,0.1254327,58438,1,1,0,0,27.0448222794566,13.9865760277615
20.48925,18.47524,17.50591,17.08866,16.72243,2.014013,0.9693356,0.4172421,0.3662281,GALAXY,,0.1250529,58438,1,1,0,0,27.0539147190972,14.0110247658408
20.82025,18.85797,17.80216,17.33883,16.99176,1.962278,1.055805,0.4633293,0.3470707,GALAXY,,0.1288365,58438,1,1,0,0,27.08940808913,14.0384034483626
21.56656,19.55312,18.57685,18.14803,17.873,2.013445,0.976265,0.4288292,0.2750244,GALAXY,,0.1236988,58438,1,1,0,0,27.052365545257,14.1024019881953
21.69028,19.83842,18.89045,18.48296,18.19663,1.851854,0.9479713,0.4074974,0.2863235,GALAXY,,0.1229908,58438,1,1,0,0,27.083607797155,14.1130534582704
20.29641,18.5157,17.50971,17.07449,16.7227,1.780708,1.005987,0.4352283,0.3517895,GALAXY,,0.1260348,58438,1,1,0,0,27.1402848820863,14.0369240004924
21.66889,19.77452,18.89021,18.50349,18.25426,1.894373,0.8843098,0.3867226,0.2492275,GALAXY,,0.1239631,58438,1,1,0,0,27.1603805630972,14.0840680822697
21.26399,19.34663,18.32187,17.88879,17.57718,1.917362,1.024761,0.4330807,0.3116112,GALAXY,,0.1227628,58438,1,1,0,0,27.1116361159265,14.0418391631264
20.8815,18.98899,17.93432,17.497,17.12864,1.892504,1.054674,0.4373245,0.3683567,GALAXY,,0.1211938,58438,1,1,0,0,27.1472266857305,14.0207838480732
20.85394,19.16565,18.11094,17.6967,17.38128,1.688295,1.054714,0.4142323,0.3154202,GALAXY,,0.1238656,58438,1,1,0,0,27.157315848182,14.1054407018975
20.30126,18.54215,17.65679,17.25873,16.94352,1.759109,0.8853626,0.3980598,0.3152122,GALAXY,,0.1227968,58438,1,1,0,0,27.1700081462122,14.0058679085747
21.53937,19.53953,18.62924,18.18958,17.90882,1.999836,0.9102955,0.4396629,0.280756,GALAXY,,0.1243218,58438,1,1,0,0,27.1935879301894,13.9505467371982
20.92014,19.02306,18.04358,17.64182,17.29315,1.897079,0.9794846,0.4017544,0.3486748,GALAXY,,0.1249881,58438,1,1,0,0,27.2579842426198,14.0230839405798
24.13916,21.75569,20.00884,19.2043,18.64399,2.383472,1.746845,0.8045387,0.5603161,GALAXY,,0.4496471,56724,1,1,0,0,192.07198464559,65.5777666147192
21.55241,20.1315,18.94311,18.22757,18.00956,1.42091,1.188396,0.715538,0.2180042,GALAXY,,0.3190494,56724,1,1,0,0,192.736398913509,65.6055720388744
22.04697,21.24247,20.07649,19.26356,18.92083,0.8045006,1.165979,0.812933,0.3427258,GALAXY,,0.5398279,56724,1,1,0,0,192.276197914866,65.9019291183092
27.26881,20.4121,18.81069,18.209,17.77887,6.856705,1.601414,0.6016941,0.4301224,GALAXY,,0.3475102,56724,1,1,0,0,193.051781415429,65.8927584917219
24.78364,21.11099,19.30064,18.68196,18.28718,3.672646,1.81035,0.618679,0.394783,GALAXY,,0.3590175,56724,1,1,0,0,193.221130613962,65.9688318099931
22.2982,19.89449,18.36887,17.81806,17.46019,2.403715,1.525616,0.5508099,0.3578739,GALAXY,,0.2855409,56449,1,1,0,0,234.554688635195,53.0617489326619
21.29322,19.5094,18.0636,17.51416,17.17168,1.783823,1.445797,0.5494366,0.3424835,GALAXY,,0.2886249,56449,1,1,0,0,235.164139068083,52.758638276332
25.71908,22.21895,20.41158,19.53814,19.07808,3.500126,1.807375,0.873436,0.4600639,GALAXY,,0.4847278,56449,1,1,0,0,235.357490169095,52.6299076058961
23.3744,21.20055,19.44856,18.74503,18.37652,2.173851,1.751989,0.703537,0.3685036,GALAXY,,0.4093093,56449,1,1,0,0,234.821180075659,53.307022380563
21.87924,19.8892,18.34247,17.80128,17.4283,1.990044,1.546732,0.5411835,0.3729801,GALAXY,,0.3345232,56449,1,1,0,0,235.120256473558,53.2175541831554
22.53051,20.64454,18.9068,18.29164,17.94345,1.885971,1.737741,0.6151562,0.3481922,GALAXY,,0.3631938,56449,1,1,0,0,235.465507386207,53.1718872842511
24.83894,21.72563,20.00284,19.17251,18.61442,3.113316,1.72279,0.830328,0.5580902,GALAXY,,0.4492527,56449,1,1,0,0,235.341722010653,53.1410751058385
23.48746,22.74596,21.48824,20.14108,20.88289,0.7415028,1.257719,1.347162,-0.7418156,GALAXY,,0.3408964,56449,1,1,0,0,235.45192709874,52.9740786241449
19.86154,18.20012,17.44395,17.07387,16.80817,1.661425,0.7561607,0.3700829,0.2657032,GALAXY,,0.06770252,51630,1,1,0,0,145.821638182128,-0.846601885046273
20.49297,18.40508,17.10749,16.59062,16.26356,2.087885,1.297592,0.5168705,0.3270569,GALAXY,,0.2045784,51630,1,1,0,0,145.818101273901,-0.878973095843891
20.42431,18.4883,17.44174,17.01804,16.7022,1.936007,1.046564,0.4237022,0.315836,GALAXY,,0.1448017,51630,1,1,0,0,145.853157594108,-0.997063559085189
20.20605,18.07984,16.91388,16.43506,16.06444,2.126202,1.165962,0.4788227,0.3706226,GALAXY,,0.153699,51630,1,1,0,0,145.892309469118,-1.02264988945927
24.18421,20.62106,18.80663,18.20362,17.7857,3.563152,1.814426,0.6030178,0.4179153,GALAXY,,0.3680652,51630,1,1,0,0,145.806366094705,-0.547064133866952
23.38203,20.60987,18.83066,18.2511,17.81178,2.772163,1.779205,0.5795574,0.4393234,GALAXY,,0.335078,51630,1,1,0,0,145.98911006751,-0.61504689080627
20.80927,18.29336,17.25271,16.69388,16.29907,2.515907,1.040649,0.5588322,0.3948078,GALAXY,,0.06240187,51630,1,1,0,0,146.433739057145,-0.10565768248392
18.59242,16.67454,15.78321,15.35839,15.02921,1.917877,0.8913279,0.4248228,0.3291836,GALAXY,,0.03073909,51630,1,1,0,0,146.355772780303,-0.143371261096292
17.5822,15.39248,14.40929,13.98291,13.65166,2.189713,0.9831944,0.426383,0.3312521,GALAXY,,0.06251308,51630,1,1,0,0,146.46890559991,-0.0928280403032654
19.6092,17.42899,16.34375,15.88121,15.49156,2.180212,1.085239,0.4625463,0.3896484,GALAXY,,0.1247317,52374,1,1,0,0,166.801422046749,0.836388448767615
24.25261,20.59359,18.98062,18.44536,18.13078,3.659014,1.612968,0.535265,0.3145752,GALAXY,,0.2479225,52374,1,1,0,0,166.815640244161,1.08898171327142
20.34416,17.90981,16.9787,16.48977,16.09152,2.434351,0.9311104,0.4889297,0.3982544,GALAXY,,0.05260282,51630,1,1,0,0,146.381392930289,-0.386506983977315
20.88713,18.75002,17.68066,17.17086,16.76111,2.137114,1.069359,0.5097942,0.4097519,GALAXY,,0.1284871,51630,1,1,0,0,146.399697063666,0.032220156076326
24.4445,20.48908,18.68525,17.91389,17.43273,3.955421,1.803823,0.7713604,0.481163,GALAXY,,0.4410215,51630,1,1,0,0,146.477003626339,0.0773977424020902
21.18764,19.45008,18.05162,17.50069,17.20006,1.737564,1.398462,0.5509243,0.3006344,GALAXY,,0.2375582,56724,1,1,0,0,193.384066244362,65.431818892984
22.93521,21.16496,19.75387,18.90525,18.45679,1.770252,1.411083,0.8486252,0.4484577,GALAXY,,0.538227,56724,1,1,0,0,193.387415967755,65.5288458406359
21.40179,19.10208,17.72078,17.18451,16.82393,2.299707,1.381304,0.5362663,0.3605766,GALAXY,,0.2320032,56724,1,1,0,0,194.010295846072,65.3721882329228
22.57783,20.1454,18.63308,18.04385,17.72849,2.432423,1.51232,0.5892296,0.315361,GALAXY,,0.3168749,56724,1,1,0,0,194.045006988671,65.391677564393
21.741,19.24817,17.87615,17.35685,17.02688,2.492825,1.372028,0.5192928,0.3299732,GALAXY,,0.2311155,56724,1,1,0,0,194.280404609661,65.3873293116269
22.6501,20.44114,18.78127,18.23409,17.89734,2.208954,1.659876,0.5471783,0.3367538,GALAXY,,0.317634,56724,1,1,0,0,194.316720883457,65.4844864136754
23.11252,20.39183,18.87146,18.22113,17.87298,2.720697,1.520369,0.6503239,0.3481503,GALAXY,,0.317342,56724,1,1,0,0,194.350025768762,65.5027742489195
22.6554,20.40259,19.02952,18.49438,18.15444,2.252817,1.373062,0.5351486,0.3399391,GALAXY,,0.2354735,56724,1,1,0,0,194.443203142881,65.4159512696051
22.9694,20.73322,18.97443,18.41783,18.11778,2.236177,1.758793,0.5566006,0.3000469,GALAXY,,0.3268524,56724,1,1,0,0,193.305510161471,66.0251945457653
25.64005,21.87291,20.02698,19.19348,18.86462,3.767141,1.84593,0.8335018,0.3288593,GALAXY,,0.4817369,56724,1,1,0,0,193.365393817136,65.9138724916147
21.65551,19.35307,17.95535,17.40109,17.07457,2.302441,1.39772,0.554266,0.3265171,GALAXY,,0.2355894,56724,1,1,0,0,193.581658013733,65.9432765968309
26.00316,20.44657,18.75957,18.16931,17.86843,5.556589,1.687002,0.5902576,0.3008785,GALAXY,,0.33327,56724,1,1,0,0,194.515574129816,65.8913782006446
22.88742,21.36773,20.52394,19.753,19.40994,1.519697,0.8437862,0.770937,0.3430653,GALAXY,,0.6255145,56724,1,1,0,0,194.501091088237,65.9542856637691
22.09944,21.04718,19.21687,18.6389,18.33203,1.052261,1.830315,0.5779686,0.3068733,GALAXY,,0.333403,56724,1,1,0,0,194.646141796419,65.8134428812765
22.77745,20.1874,18.8071,18.31347,17.98117,2.590048,1.380308,0.4936295,0.3322945,GALAXY,,0.2190413,56715,1,1,0,0,122.893532583341,45.0960730419111
22.48727,21.09726,20.05623,19.70888,19.34378,1.390018,1.041023,0.3473568,0.3650932,GALAXY,,0.1986517,56715,1,1,0,1,123.197152065361,45.7428490152773
21.35764,19.12722,17.86617,17.30436,16.94378,2.230421,1.261047,0.5618134,0.3605804,GALAXY,,0.2429931,56724,1,1,0,0,193.623907107413,66.1399352178236
21.98749,21.42172,20.59463,19.79499,19.53919,0.5657673,0.8270874,0.7996387,0.2558079,GALAXY,,0.6389321,56724,1,1,0,0,194.596243930036,66.0252300226579
21.35569,19.11295,17.77913,17.30036,16.96076,2.242741,1.333824,0.4787712,0.3395996,GALAXY,,0.2345095,56724,1,1,0,0,193.589351556079,66.6097963804712
22.1226,20.59167,18.83616,18.21237,17.89948,1.530926,1.755516,0.6237869,0.3128948,GALAXY,,0.3735359,56724,1,1,0,0,194.296060971407,66.5611010401246
21.33962,19.49293,18.07462,17.53751,17.21886,1.846685,1.418314,0.5371113,0.3186455,GALAXY,,0.2369725,56748,1,1,0,0,192.244989983692,67.5387513733016
23.73384,21.65616,19.98337,19.1467,18.66418,2.077675,1.672798,0.8366623,0.4825287,GALAXY,,0.4769018,56748,1,1,0,0,191.416978555177,67.8345371912936
21.09099,20.52319,19.61155,19.20502,18.96539,0.5677986,0.9116344,0.4065304,0.2396355,GALAXY,,0.2751147,56748,1,1,0,0,191.834863182308,68.311096274099
23.92404,20.16564,18.48032,17.92053,17.58061,3.758402,1.685318,0.5597916,0.33992,GALAXY,,0.3252799,56724,1,1,0,0,193.560602474293,66.2613743424187
22.467,19.18818,17.85393,17.33632,17.04821,3.278824,1.334249,0.5176048,0.2881088,GALAXY,,0.2346084,56724,1,1,0,0,194.017674253003,66.3842899004036
22.43873,21.02717,19.53424,18.78463,18.3749,1.411556,1.492928,0.7496128,0.4097309,GALAXY,,0.4620495,56724,1,1,0,0,194.379619687661,66.1726957163506
22.68034,20.55492,18.92658,18.32463,17.99733,2.12542,1.628334,0.6019535,0.3272953,GALAXY,,0.3480024,56724,1,1,0,0,193.94156018805,66.6980279134351
25.0417,22.08984,20.44297,19.5618,19.20461,2.951857,1.646872,0.8811722,0.3571911,GALAXY,,0.4790448,56748,1,1,0,0,191.156185188473,67.6739514331945
22.65321,20.43872,18.92096,18.30112,17.8958,2.214487,1.517759,0.6198368,0.4053211,GALAXY,,0.3135128,56748,1,1,0,0,190.940602234061,68.07995554471
23.15807,21.30185,19.56903,18.8572,18.43129,1.85622,1.732821,0.7118225,0.4259109,GALAXY,,0.4408994,56748,1,1,0,0,191.502623520124,68.105649734928
21.57477,21.09304,19.75127,19.01065,18.60386,0.4817295,1.34177,0.7406139,0.4067936,GALAXY,,0.4861143,56748,1,1,0,0,191.513720218252,68.1285770771121
22.14863,21.1673,19.64573,18.89467,18.47014,0.9813309,1.521568,0.7510643,0.42453,GALAXY,,0.4388389,56748,1,1,0,0,191.767738487932,68.4345222217727
20.90849,18.90971,17.68187,17.19028,16.93006,1.998781,1.22784,0.4915867,0.2602234,GALAXY,,0.2352246,52374,1,1,0,0,166.399432878093,1.30882499276979
