#Table1
objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,probPSF,mode
1237645879580098737,55.2961970044124,1.27169205773492,19.66785,19.72811,19.73954,19.34253,19.22473,94,301,6,537,468495887664965632,QSO,1.837838,416,51811,442,1,1
1237645942898230097,40.5793475271779,0.182010176680141,23.31015,22.21672,22.08462,21.51054,21.83711,109,301,4,39,7636038271299246080,QSO,1.570309,6782,56572,673,1,1
1237645942898230126,40.5849309701887,0.131274695916725,23.19579,22.35014,22.12838,22.14209,22.18494,109,301,4,39,7636037446665525248,QSO,2.276326,6782,56572,670,1,1
1237645942905110842,56.2342367230983,0.222159905209195,20.68877,20.27631,19.69322,19.08123,18.85207,109,301,4,144,1709266191199004672,QSO,0.4469347,1518,52937,546,0,1
1237645942905634929,57.4057655489,0.0999447174141334,18.87822,18.74923,18.67467,18.55813,18.45218,109,301,4,152,1398497475341346816,QSO,1.967009,1242,52901,472,1,1
1237645942905700553,57.6472530217318,0.0306952078281232,18.76468,18.72838,18.52493,18.46556,18.50771,109,301,4,153,1398503522655299584,QSO,1.429148,1242,52901,494,1,1
1237645942905831442,57.8249986846345,0.215608953191162,16.66603,16.53433,16.62371,16.67965,16.73018,109,301,4,155,1398507645823903744,QSO,0.6822563,1242,52901,509,1,1
1237645942905831607,57.8666985784395,0.0706767803986773,19.53318,19.35507,19.31561,19.16317,19.1712,109,301,4,155,1398506821190182912,QSO,1.547692,1242,52901,506,1,1
1237645942905831654,57.9170237643316,0.175591832886658,19.43193,19.38594,19.05498,19.09978,19.13216,109,301,4,155,1398505996556462080,QSO,1.244225,1242,52901,503,1,1
1237645942905962575,58.1754593923652,0.218693321553306,18.40434,18.37201,18.1599,18.21354,18.36805,109,301,4,157,1398529361178552320,QSO,1.161747,1242,52901,588,1,1
1237645942906028511,58.3551634525876,0.0795489122483548,23.21526,20.89309,20.43166,20.27839,19.98397,109,301,4,158,1398539256783202304,QSO,6.449718,1242,52901,624,1,1
1237645942906290310,58.8721741191512,0.135314258172131,18.78155,18.6566,18.48154,18.47452,18.04239,109,301,4,162,1721671431021946880,QSO,0.3295562,1529,52930,620,0,1
