#Table1
objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,probPSF,mode
1237651274035560615,128.882532702746,54.928917456568,19.43687,17.76148,17.13218,16.91798,16.80427,1350,301,6,179,3785283816004886528,STAR,-0.0001525885,3362,54939,30,1,1
1237651274035560626,128.871463576431,54.9678830823743,19.22869,18.083,17.66953,17.49974,17.44089,1350,301,6,179,3785282991371165696,STAR,6.084921E-05,3362,54939,27,1,1
1237652630712942658,8.6426989238844,-9.46154357342101,20.478,19.48022,19.40721,19.40105,19.31647,1666,301,5,249,3496060304062783488,STAR,-0.0005251435,3105,54825,513,1,1
1237652630713073804,9.03536218359167,-9.37385956843071,19.66633,18.18865,17.61381,17.40076,17.23395,1666,301,5,251,3496069924789526528,STAR,5.85611E-05,3105,54825,548,1,1
1237652630713073806,9.05070088438202,-9.52017619625651,18.82208,17.59743,17.15259,16.9623,16.86727,1666,301,5,251,3496070474545340416,STAR,-9.826556E-05,3105,54825,550,1,1
1237652630713139254,9.08320993684998,-9.39069156132193,19.66813,18.79891,18.51661,18.42875,18.41031,1666,301,5,252,3496069100155805696,STAR,-0.0005183722,3105,54825,545,1,1
1237652630713139258,9.09601709361753,-9.46114596047643,19.1366,17.8764,17.42889,17.27724,17.19685,1666,301,5,252,3496068000644177920,STAR,7.204128E-05,3105,54825,541,1,1
1237652630713139260,9.10821845257388,-9.38502200698046,20.99461,18.29677,16.81426,15.93345,15.42097,1666,301,5,252,3496071299179061248,STAR,8.543221E-05,3105,54825,553,1,1
1237652630713139269,9.13089256875597,-9.45301852832625,19.12691,18.08064,17.73317,17.62238,17.51969,1666,301,5,252,3496068275522084864,STAR,-0.0001387264,3105,54825,542,1,1
1237652630713139297,9.18251612535187,-9.39643207532269,19.08987,18.08989,17.79029,17.69275,17.68518,1666,301,5,252,3496070199667433472,STAR,-0.0006960804,3105,54825,549,1,1
1237652900751933492,8.92661841207446,-9.90235419979171,16.87238,15.69455,15.28653,15.13545,15.11067,1729,301,4,141,3496072948446502912,STAR,-0.0001832641,3105,54825,559,1,1
