u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
21.98342,19.96266,18.93252,18.56097,18.32493,2.02076,1.03014,0.3715439,0.236042,STAR,K5,0.0001509385,52523,1,1,0,1,16.2039364747481,-1.17306471192689
19.44146,18.15781,17.8834,17.80152,17.86759,1.283648,0.2744064,0.08188629,-0.06607056,STAR,G0,-0.0001075728,54414,1,1,0,1,72.5178005801064,21.9907361816338
20.49531,19.56294,19.19145,19.05591,19.0788,0.9323616,0.3714924,0.1355438,-0.022892,STAR,F5,9.008108e-05,54144,1,1,0,1,192.349720736052,-7.89079246725271
17.31252,16.33416,16.18731,16.15335,16.19925,0.9783535,0.1468525,0.03396225,-0.04589653,STAR,A0,-0.000194635,53289,1,1,0,1,323.262616409473,10.1534123177101
20.59293,19.57945,19.31811,19.23415,19.16002,1.013481,0.2613449,0.08395386,0.07413101,STAR,F5,-6.099975e-05,54563,1,1,0,1,194.046527768039,49.1122311495511
18.91296,16.48474,15.42534,15.02692,14.80334,2.428223,1.059403,0.3984184,0.2235765,STAR,K5,-8.905096e-07,54849,1,1,0,1,177.844693102189,49.9246425018847
17.91531,16.99696,16.76753,16.7081,16.70393,0.9183464,0.2294312,0.05942917,0.004169464,STAR,F2III (89254),-0.0002677132,58420,1,1,0,1,347.488825746779,29.2613398179691
24.88928,22.18519,20.58064,19.53242,18.8321,2.704086,1.604548,1.048227,0.7003193,STAR,M1 (204445),7.590345e-05,57452,1,1,0,1,131.145049444948,38.0789089491224
20.27493,18.03798,17.15711,16.87201,16.70514,2.236952,0.8808613,0.2851009,0.166872,STAR,K3,-3.585334e-05,54863,1,1,0,1,184.764184506583,18.778808181233
19.0593,18.07943,17.85645,17.77298,17.78358,0.979866,0.2229824,0.0834713,-0.01060104,STAR,F3/F5V (30743),4.766361e-05,56745,1,1,0,1,129.933841972995,-0.6833972877349
20.026,19.42844,19.20193,19.17037,19.22079,0.5975609,0.2265072,0.03156662,-0.05042267,STAR,CV,0.000233077,54176,1,1,0,1,181.744319578934,40.9329589114695
21.07854,19.60446,19.65617,19.7134,19.60001,1.474077,-0.05170441,-0.05722809,0.1133842,STAR,A5II (34578),-0.0002976551,56597,1,1,0,1,136.753734770815,57.0137582855161
18.16141,17.1904,16.94812,16.85034,16.84838,0.9710083,0.2422886,0.09777641,0.001964569,STAR,F3/F5V (30743),-5.798884e-05,57016,1,1,0,1,34.1740372935939,-0.530946884760068
